,Unnamed: 0,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt
1609,5967.0,2022-01-21,3,MLB8369496460,0.0,,1,2022-01-21,0,,1,2022-01-25
1610,6246.0,2022-01-20,3,MLB10601381930,1.0,2022-02-07,1,2022-01-22,1,2022-01-20,1,2022-01-29
1611,,2022-01-29,4,MLB47296432200,0.0,,0,,0,,1,2022-01-30
1612,3149.0,2022-01-13,2,MLB2701726000,0.0,,0,,0,,1,2022-01-17
1613,2191.0,2022-01-14,2,MLB3568278080,0.0,,1,2022-01-30,1,2022-01-30,1,2022-01-30
1614,4147.0,2022-01-09,1,MLB751025830,0.0,,1,2022-02-01,1,2022-01-09,1,2022-01-12
1615,6232.0,2022-01-31,5,MLB10664126700,0.0,,0,,1,2022-01-31,1,2022-02-01
1616,1756.0,2022-01-18,3,MLB1667030770,1.0,2022-02-12,1,2022-01-19,1,2022-01-19,1,2022-01-19
1617,,2022-01-19,3,MLB410595581810,0.0,,0,,0,,1,2022-01-30
1618,7641.0,2022-01-23,3,MLB4689898760,0.0,,0,,0,,0,
1619,5955.0,2022-01-31,5,MLB10665296880,0.0,,0,,0,,1,2022-02-02
1620,1001.0,2022-01-23,3,MLB3507434700,0.0,,0,,0,,0,
1621,4919.0,2022-01-25,4,MLB8292443470,0.0,,0,,0,,0,
1622,6043.0,2022-01-08,1,MLB5192204290,0.0,,0,,0,,1,2022-01-09
1623,,2022-01-21,3,MLB410227633022,0.0,,0,,0,,1,2022-01-24
1624,8748.0,2022-01-07,1,MLB10530769680,0.0,,0,,1,2022-01-07,1,2022-01-28
1625,,2022-01-24,4,MLB47734657340,0.0,,0,,0,,1,2022-01-26
1626,672.0,2022-01-26,4,MLB2966842010,0.0,,1,2022-02-03,0,,1,2022-01-27
1627,9527.0,2022-01-31,5,MLB6153458540,0.0,,1,2022-01-31,1,2022-01-31,0,
1628,9892.0,2022-01-04,1,MLB5862328250,0.0,,0,,0,,0,
1629,276.0,2022-01-07,1,MLB10527253160,0.0,,0,,0,,0,
1630,10802.0,2022-01-31 00:00:00,5,MLB10661667840-1,0.0,,0,,0,,1,2022-01-30 00:00:00
1631,5238.0,2022-01-10,2,MLB4996287710,0.0,,1,2022-02-09,0,,1,2022-02-09
1632,4886.0,2022-01-24,4,MLB10475229570,0.0,,0,,0,,1,2022-02-09
1633,9518.0,2022-01-14,2,MLB10559840600,0.0,,1,2022-01-18,1,2022-01-15,1,2022-01-15
1634,328.0,2022-01-12,2,MLB10555659880,0.0,,0,,0,,1,2022-01-13
1635,1555.0,2022-01-16,2,MLB6569372470,0.0,,1,2022-01-17,0,,1,2022-01-17
1636,9237.0,2022-01-25,4,MLB8348056340,0.0,,0,,0,,0,
1637,32.0,2022-01-28,4,MLB10197539290,0.0,,1,2022-01-28,0,,1,2022-01-29
1638,7652.0,2022-01-15,2,MLB7884977050,0.0,,0,,0,,0,
1639,5760.0,2022-01-22,3,MLB3148778120,0.0,,0,,0,,1,2022-01-24
1640,6704.0,2022-01-05,1,MLB10037378010,0.0,,0,,0,,1,2022-01-11
1641,9029.0,2022-01-07,1,MLB1451613830,0.0,,0,,0,,1,2022-01-08
1642,9251.0,2022-01-18,3,MLB3852833560,0.0,,0,,0,,0,
1643,7051.0,2022-01-18,3,MLB10524055680,0.0,,1,2022-02-03,1,2022-01-18,1,2022-01-19
1644,,2022-01-25,4,MLB46212290230,0.0,,1,2022-01-26,1,2022-01-26,1,2022-01-26
1645,8631.0,2022-01-23,3,MLB10501834380,0.0,,1,2022-01-31,1,2022-01-23,1,2022-01-27
1646,10694.0,2022-01-13 00:00:00,2,MLB10562323840-1,1.0,2022-02-07 00:00:00,1,2022-01-13 00:00:00,1,2022-01-18 00:00:00,1,2022-01-12 00:00:00
1647,1041.0,2022-01-08,1,MLB10532190630,0.0,,0,,0,,1,2022-01-11
1648,10279.0,2022-01-07 00:00:00,1,MLB10528042730-1,,,0,,1,2022-01-07 00:00:00,1,2022-01-08 00:00:00
1649,250.0,2022-01-17,3,MLB5113460280,0.0,,1,2022-02-03,0,,1,2022-01-18
1650,4309.0,2022-01-08,1,MLB10535260290,0.0,,0,,1,2022-01-10,1,2022-01-09
1651,5392.0,2022-01-20,3,MLB1410048540,1.0,2022-02-07,1,2022-01-31,1,2022-01-21,1,2022-01-21
1652,4737.0,2022-01-17,3,MLB1934455880,0.0,,1,2022-01-07,0,,0,
1653,7968.0,2022-01-11,2,MLB10537740920,1.0,2022-01-13,1,2022-01-12,1,2022-01-11,1,2022-01-12
1654,9794.0,2022-01-29,4,MLB2354432180,0.0,,0,,0,,1,2022-01-31
1655,282.0,2022-01-01,52,MLB6832201810,0.0,,0,,0,,0,
1656,,2022-01-14,2,MLB48139373910,0.0,,0,,0,,1,2022-02-07
1657,4457.0,2022-01-19,3,MLB5681715570,0.0,,0,,1,2022-01-19,1,2022-01-20
1658,9642.0,2022-01-19,3,MLB5701910490,1.0,2022-02-03,1,2022-01-24,1,2022-01-24,1,2022-01-22
1659,10700.0,2022-01-03 00:00:00,1,MLB6035772540-1,0.0,,1,2022-01-18 00:00:00,1,2022-01-04 00:00:00,1,2022-01-02 00:00:00
1660,,2022-01-17,3,MLB41845845780,0.0,,1,2022-01-17,1,2022-01-17,1,2022-01-18
1661,9119.0,2022-01-19,3,MLB6283293090,0.0,,0,,0,,0,
1662,,2022-01-07,1,MLB410527681522,0.0,,0,,0,,0,
1663,7294.0,2022-01-25,4,MLB5488077700,0.0,,0,,0,,0,
1664,817.0,2022-01-21,3,MLB5943361520,0.0,,0,,0,,0,
1665,84.0,2022-01-10,2,MLB5000240680,0.0,,0,,0,,1,2022-01-13
1666,10721.0,2022-01-09 00:00:00,1,MLB3883380850-1,0.0,,1,2022-01-08 00:00:00,1,2022-01-09 00:00:00,1,2022-01-08 00:00:00
1667,5012.0,2022-01-02,52,MLB5485431520,0.0,,0,,1,2022-01-02,0,
1668,8622.0,2022-01-16,2,MLB5442133200,0.0,,1,2022-01-10,0,,1,2022-01-24
1669,5231.0,2022-01-14,2,MLB10568005510,1.0,2022-01-15,1,2022-01-14,1,2022-01-15,1,2022-01-15
1670,4723.0,2022-01-31,5,MLB2309762940,0.0,,1,2022-01-31,0,,1,2022-02-02
1671,2444.0,2022-01-11,2,MLB4761982950,0.0,,0,,1,2022-01-24,1,2022-01-24
1672,,2022-01-01,52,MLB410494418500,1.0,2022-01-26,1,2022-01-01,1,2022-01-01,1,2022-01-07
1673,3991.0,2022-01-13,2,MLB6098883320,0.0,,0,,0,,0,
1674,337.0,2022-01-25,4,MLB4538974910,0.0,,0,,0,,1,2022-01-26
1675,10931.0,2022-01-14 00:00:00,2,MLB10571869020-1,0.0,,0,,0,,1,2022-01-13 00:00:00
1676,767.0,2022-01-11,2,MLB2208342130,0.0,,0,,0,,1,2022-01-18
1677,1740.0,2022-01-08,1,MLB388280980,0.0,,0,,0,,0,
1678,10674.0,2022-01-20 00:00:00,3,MLB10465471180-1,1.0,2022-02-18 00:00:00,1,2022-01-22 00:00:00,1,2022-01-22 00:00:00,1,2022-01-19 00:00:00
1679,4536.0,2022-01-24,4,MLB1202916090,1.0,2022-02-07,1,2022-01-25,1,2022-01-25,1,2022-01-25
1680,1868.0,2022-01-08,1,MLB6699010760,0.0,,0,,0,,0,
1681,8447.0,2022-01-20,3,MLB10490324180,0.0,,0,,0,,0,
1682,11334.0,2022-01-19 00:00:00,3,MLB7722070940,0.0,,0,,0,,1,2022-01-21 00:00:00
1683,,2022-01-14,2,MLB41284689122,1.0,2022-01-29,1,2022-01-22,1,2022-01-22,1,2022-01-15
1684,773.0,2022-01-18,3,MLB8404322380,1.0,2022-02-14,1,2022-01-23,1,2022-01-18,1,2022-01-23
1685,9673.0,2022-01-26,4,MLB10377514330,0.0,,0,,0,,1,2022-01-27
1686,4054.0,2022-01-25,4,MLB3036861140,0.0,,1,2022-02-08,1,2022-01-25,1,2022-01-26
1687,792.0,2022-01-14,2,MLB5739479620,0.0,,0,,1,2022-01-14,1,2022-01-17
1688,7884.0,2022-01-30,4,MLB10611751860,0.0,,0,,1,2022-01-30,1,2022-02-01
1689,4197.0,2022-01-06,1,MLB10330324160,0.0,,0,,0,,0,
1690,428.0,2022-01-30,4,MLB10658017080,0.0,,0,,0,,1,2022-01-31
1691,4298.0,2022-01-05,1,MLB5751180220,0.0,,1,2022-01-04,0,,1,2022-01-06
1692,6642.0,2022-01-20,3,MLB7719587410,0.0,,1,2022-01-20,0,,1,2022-01-24
1693,8670.0,2022-01-12,2,MLB10554148370,0.0,,1,2022-01-13,1,2022-01-19,1,2022-01-13
1694,,2022-01-06,1,MLB42291932290,0.0,,1,2022-01-06,1,2022-01-30,1,2022-01-19
1695,5848.0,2022-01-27,4,MLB7146667840,0.0,,0,,0,,1,2022-01-31
1696,6196.0,2022-01-25,4,MLB2372471490,0.0,,0,,0,,0,
1697,5120.0,2022-01-27,4,MLB4314279380,0.0,,0,,0,,0,
1698,9684.0,2022-01-17,3,MLB7138966160,1.0,2022-02-14,1,2022-01-17,0,,1,2022-01-22
1699,1731.0,2022-01-22,3,MLB1617219660,0.0,,1,2022-01-27,0,,1,2022-01-23
1700,7073.0,2022-01-20,3,MLB7329161290,0.0,,0,,0,,0,
1701,4996.0,2022-01-07,1,MLB10525548450,0.0,,1,2022-01-06,0,,1,2022-01-08
1702,9255.0,2022-01-18,3,MLB10589753640,0.0,,0,,0,,0,
1703,8614.0,2022-01-30,4,MLB2890849180,0.0,,1,2022-01-30,1,2022-01-30,1,2022-02-03
1704,7431.0,2022-01-06,1,MLB6124643930,0.0,,1,2022-01-06,0,,0,
1705,3931.0,2022-01-11,2,MLB7782635660,0.0,,0,,1,2022-01-11,1,2022-02-10
1706,10772.0,2022-01-18 00:00:00,3,MLB10589857660-1,1.0,2022-02-01 00:00:00,1,2022-01-19 00:00:00,1,2022-01-18 00:00:00,1,2022-01-17 00:00:00
1707,5681.0,2022-01-21,3,MLB1711556350,1.0,2022-01-28,1,2022-01-20,1,2022-01-21,1,2022-01-22
1708,,2022-01-14,2,MLB47306508150,0.0,,0,,0,,1,2022-01-15
1709,3341.0,2022-01-15,2,MLB3129287940,0.0,,0,,0,,1,2022-01-19
1710,9546.0,2022-01-17,3,MLB5842795820,0.0,,0,,0,,0,
1711,978.0,2022-01-03,1,MLB5704199840,0.0,,0,,0,,1,2022-01-05
1712,8964.0,2022-01-18,3,MLB10594118320,0.0,,0,,0,,1,2022-01-19
1713,8048.0,2022-01-07,1,MLB10527424200,0.0,,0,,0,,0,
1714,,2022-01-22,3,MLB45699203950,0.0,,0,,0,,0,
1715,4379.0,2022-01-30,4,MLB7403478900,0.0,,0,,0,,1,2022-02-10
1716,6377.0,2022-01-26,4,MLB5163810680,0.0,,0,,1,2022-02-07,1,2022-01-27
1717,17.0,2022-01-02,52,MLB2165710930,1.0,2022-01-08,1,2022-01-03,1,2022-01-03,1,2022-01-03
1718,,2022-01-17,3,MLB410573243720,0.0,,0,,0,,0,
1719,2482.0,2022-01-17,3,MLB10584802810,0.0,,0,,0,,0,
1720,1107.0,2022-01-17,3,MLB5690668990,0.0,,0,,1,2022-01-17,1,2022-01-18
1721,1023.0,2022-01-04,1,MLB10505242900,0.0,,1,2022-01-05,1,2022-01-04,1,2022-01-05
1722,9456.0,2022-01-28,4,MLB10646796560,0.0,,0,,1,2022-01-29,1,2022-01-29
1723,8081.0,2022-01-28,4,MLB3436255810,0.0,,1,2022-01-28,0,,1,2022-01-30
